GEO_id,GEO_id2,GEO_display_label,VD01
1400000US48027021302,48027021302,"Census Tract 213.02, Bell County, Texas",2971
1400000US48027021303,48027021303,"Census Tract 213.03, Bell County, Texas",3608
1400000US48027021400,48027021400,"Census Tract 214, Bell County, Texas",3285
1400000US48027021500,48027021500,"Census Tract 215, Bell County, Texas",5078
1400000US48027021601,48027021601,"Census Tract 216.01, Bell County, Texas",5678
1400000US48027021602,48027021602,"Census Tract 216.02, Bell County, Texas",2242
1400000US48027021700,48027021700,"Census Tract 217, Bell County, Texas",5713
1400000US48027021800,48027021800,"Census Tract 218, Bell County, Texas",4847
1400000US48027021901,48027021901,"Census Tract 219.01, Bell County, Texas",3290
1400000US48027021902,48027021902,"Census Tract 219.02, Bell County, Texas",10050
1400000US48027022000,48027022000,"Census Tract 220, Bell County, Texas",6202
1400000US48027022101,48027022101,"Census Tract 221.01, Bell County, Texas",5059
1400000US48027022102,48027022102,"Census Tract 221.02, Bell County, Texas",7367
1400000US48027022103,48027022103,"Census Tract 221.03, Bell County, Texas",4745
1400000US48027022200,48027022200,"Census Tract 222, Bell County, Texas",3288
1400000US48027022300,48027022300,"Census Tract 223, Bell County, Texas",4624
1400000US48027022401,48027022401,"Census Tract 224.01, Bell County, Texas",3785
1400000US48027022402,48027022402,"Census Tract 224.02, Bell County, Texas",9847
1400000US48027022500,48027022500,"Census Tract 225, Bell County, Texas",7363
1400000US48027022600,48027022600,"Census Tract 226, Bell County, Texas",4668
1400000US48027022801,48027022801,"Census Tract 228.01, Bell County, Texas",3126
1400000US48027022900,48027022900,"Census Tract 229, Bell County, Texas",4454
1400000US48027023000,48027023000,"Census Tract 230, Bell County, Texas",5423
1400000US48027023102,48027023102,"Census Tract 231.02, Bell County, Texas",13638
1400000US48027023103,48027023103,"Census Tract 231.03, Bell County, Texas",4620
1400000US48027023104,48027023104,"Census Tract 231.04, Bell County, Texas",3706
1400000US48027023200,48027023200,"Census Tract 232, Bell County, Texas",17404
1400000US48027023300,48027023300,"Census Tract 233, Bell County, Texas",5201
1400000US48027023401,48027023401,"Census Tract 234.01, Bell County, Texas",7327
1400000US48027023402,48027023402,"Census Tract 234.02, Bell County, Texas",4615
1400000US48027023500,48027023500,"Census Tract 235, Bell County, Texas",2337
1400000US48029110100,48029110100,"Census Tract 1101, Bexar County, Texas",3316
1400000US48029110200,48029110200,"Census Tract 1102, Bexar County, Texas",1081
1400000US48029110300,48029110300,"Census Tract 1103, Bexar County, Texas",2588
1400000US48029110400,48029110400,"Census Tract 1104, Bexar County, Texas",897
1400000US48029110500,48029110500,"Census Tract 1105, Bexar County, Texas",2073
1400000US48029110600,48029110600,"Census Tract 1106, Bexar County, Texas",7088
1400000US48029110700,48029110700,"Census Tract 1107, Bexar County, Texas",1836
1400000US48029110800,48029110800,"Census Tract 1108, Bexar County, Texas",2577
1400000US48029110900,48029110900,"Census Tract 1109, Bexar County, Texas",750
1400000US48029111000,48029111000,"Census Tract 1110, Bexar County, Texas",2549
1400000US48029120100,48029120100,"Census Tract 1201, Bexar County, Texas",5508
1400000US48029120200,48029120200,"Census Tract 1202, Bexar County, Texas",6275
1400000US48029120300,48029120300,"Census Tract 1203, Bexar County, Texas",7319
1400000US48029120400,48029120400,"Census Tract 1204, Bexar County, Texas",5019
1400000US48029120501,48029120501,"Census Tract 1205.01, Bexar County, Texas",7805
1400000US48029120502,48029120502,"Census Tract 1205.02, Bexar County, Texas",5411
1400000US48029120600,48029120600,"Census Tract 1206, Bexar County, Texas",6147
1400000US48029120701,48029120701,"Census Tract 1207.01, Bexar County, Texas",5518
1400000US48029120702,48029120702,"Census Tract 1207.02, Bexar County, Texas",4260
1400000US48029120800,48029120800,"Census Tract 1208, Bexar County, Texas",6797
1400000US48029120901,48029120901,"Census Tract 1209.01, Bexar County, Texas",1945
1400000US48029120902,48029120902,"Census Tract 1209.02, Bexar County, Texas",6180
1400000US48029121000,48029121000,"Census Tract 1210, Bexar County, Texas",7242
1400000US48029121108,48029121108,"Census Tract 1211.08, Bexar County, Texas",7090
1400000US48029121109,48029121109,"Census Tract 1211.09, Bexar County, Texas",8792
1400000US48029121110,48029121110,"Census Tract 1211.10, Bexar County, Texas",4694
1400000US48029121111,48029121111,"Census Tract 1211.11, Bexar County, Texas",6830
1400000US48029121112,48029121112,"Census Tract 1211.12, Bexar County, Texas",3479
1400000US48029121114,48029121114,"Census Tract 1211.14, Bexar County, Texas",8941
1400000US48029121115,48029121115,"Census Tract 1211.15, Bexar County, Texas",5426
1400000US48029121116,48029121116,"Census Tract 1211.16, Bexar County, Texas",4704
1400000US48029121117,48029121117,"Census Tract 1211.17, Bexar County, Texas",3678
1400000US48029121118,48029121118,"Census Tract 1211.18, Bexar County, Texas",5718
1400000US48029121203,48029121203,"Census Tract 1212.03, Bexar County, Texas",4209
1400000US48029121204,48029121204,"Census Tract 1212.04, Bexar County, Texas",7296
1400000US48029121205,48029121205,"Census Tract 1212.05, Bexar County, Texas",3214
1400000US48029121206,48029121206,"Census Tract 1212.06, Bexar County, Texas",7737
1400000US48029121300,48029121300,"Census Tract 1213, Bexar County, Texas",4846
1400000US48029121402,48029121402,"Census Tract 1214.02, Bexar County, Texas",3002
1400000US48029121403,48029121403,"Census Tract 1214.03, Bexar County, Texas",3753
1400000US48029121404,48029121404,"Census Tract 1214.04, Bexar County, Texas",4479
1400000US48029121501,48029121501,"Census Tract 1215.01, Bexar County, Texas",5582
1400000US48029121504,48029121504,"Census Tract 1215.04, Bexar County, Texas",5260
1400000US48029121505,48029121505,"Census Tract 1215.05, Bexar County, Texas",3951
1400000US48029121506,48029121506,"Census Tract 1215.06, Bexar County, Texas",6020
1400000US48029121507,48029121507,"Census Tract 1215.07, Bexar County, Texas",5311
1400000US48029121508,48029121508,"Census Tract 1215.08, Bexar County, Texas",4890
1400000US48029121601,48029121601,"Census Tract 1216.01, Bexar County, Texas",4275
1400000US48029121603,48029121603,"Census Tract 1216.03, Bexar County, Texas",6537
1400000US48029121604,48029121604,"Census Tract 1216.04, Bexar County, Texas",3910
1400000US48029121700,48029121700,"Census Tract 1217, Bexar County, Texas",8942
1400000US48029121801,48029121801,"Census Tract 1218.01, Bexar County, Texas",5883
1400000US48029121802,48029121802,"Census Tract 1218.02, Bexar County, Texas",3955
1400000US48029121803,48029121803,"Census Tract 1218.03, Bexar County, Texas",4234
1400000US48029121804,48029121804,"Census Tract 1218.04, Bexar County, Texas",6071
1400000US48029121806,48029121806,"Census Tract 1218.06, Bexar County, Texas",5077
1400000US48029121807,48029121807,"Census Tract 1218.07, Bexar County, Texas",6330
1400000US48029121901,48029121901,"Census Tract 1219.01, Bexar County, Texas",2331
1400000US48029121902,48029121902,"Census Tract 1219.02, Bexar County, Texas",8616
1400000US48029130100,48029130100,"Census Tract 1301, Bexar County, Texas",3915
1400000US48029130200,48029130200,"Census Tract 1302, Bexar County, Texas",1895
1400000US48029130300,48029130300,"Census Tract 1303, Bexar County, Texas",3384
1400000US48029130400,48029130400,"Census Tract 1304, Bexar County, Texas",7717
1400000US48029130500,48029130500,"Census Tract 1305, Bexar County, Texas",3451
1400000US48029130600,48029130600,"Census Tract 1306, Bexar County, Texas",4525
1400000US48029130700,48029130700,"Census Tract 1307, Bexar County, Texas",2695
1400000US48029130800,48029130800,"Census Tract 1308, Bexar County, Texas",3707
1400000US48029130900,48029130900,"Census Tract 1309, Bexar County, Texas",3654
1400000US48029131000,48029131000,"Census Tract 1310, Bexar County, Texas",4793
1400000US48029131100,48029131100,"Census Tract 1311, Bexar County, Texas",2601
1400000US48029131200,48029131200,"Census Tract 1312, Bexar County, Texas",3013
1400000US48029131300,48029131300,"Census Tract 1313, Bexar County, Texas",5381
1400000US48029131400,48029131400,"Census Tract 1314, Bexar County, Texas",6308
1400000US48029131501,48029131501,"Census Tract 1315.01, Bexar County, Texas",9572
1400000US48029131502,48029131502,"Census Tract 1315.02, Bexar County, Texas",7901
1400000US48029131601,48029131601,"Census Tract 1316.01, Bexar County, Texas",2204
1400000US48029131604,48029131604,"Census Tract 1316.04, Bexar County, Texas",4816
1400000US48029131605,48029131605,"Census Tract 1316.05, Bexar County, Texas",9612
1400000US48029131606,48029131606,"Census Tract 1316.06, Bexar County, Texas",2417
1400000US48029131607,48029131607,"Census Tract 1316.07, Bexar County, Texas",6829
1400000US48029131700,48029131700,"Census Tract 1317, Bexar County, Texas",3803
1400000US48029131800,48029131800,"Census Tract 1318, Bexar County, Texas",7657
1400000US48029140100,48029140100,"Census Tract 1401, Bexar County, Texas",1795
1400000US48029140200,48029140200,"Census Tract 1402, Bexar County, Texas",3525
1400000US48029140300,48029140300,"Census Tract 1403, Bexar County, Texas",3512
1400000US48029140400,48029140400,"Census Tract 1404, Bexar County, Texas",3950
1400000US48029140500,48029140500,"Census Tract 1405, Bexar County, Texas",4208
1400000US48029140600,48029140600,"Census Tract 1406, Bexar County, Texas",2319
1400000US48029140700,48029140700,"Census Tract 1407, Bexar County, Texas",4791
1400000US48029140800,48029140800,"Census Tract 1408, Bexar County, Texas",5370
1400000US48029140900,48029140900,"Census Tract 1409, Bexar County, Texas",1896
1400000US48029141000,48029141000,"Census Tract 1410, Bexar County, Texas",3396
1400000US48029141100,48029141100,"Census Tract 1411, Bexar County, Texas",7226
1400000US48029141200,48029141200,"Census Tract 1412, Bexar County, Texas",7208
1400000US48029141300,48029141300,"Census Tract 1413, Bexar County, Texas",6062
1400000US48029141401,48029141401,"Census Tract 1414.01, Bexar County, Texas",8132
1400000US48029141402,48029141402,"Census Tract 1414.02, Bexar County, Texas",1417
1400000US48029141500,48029141500,"Census Tract 1415, Bexar County, Texas",692
1400000US48029141600,48029141600,"Census Tract 1416, Bexar County, Texas",1843
1400000US48029141700,48029141700,"Census Tract 1417, Bexar County, Texas",3875
1400000US48029141800,48029141800,"Census Tract 1418, Bexar County, Texas",3985
1400000US48029141900,48029141900,"Census Tract 1419, Bexar County, Texas",4813
