GEO_id,GEO_id2,GEO_display_label,HD01_VD01,HD02_VD01
1400000US48001950100,48001950100,"Census Tract 9501, Anderson County, Texas",5966,729
1400000US48001950401,48001950401,"Census Tract 9504.01, Anderson County, Texas",7272,531
1400000US48001950402,48001950402,"Census Tract 9504.02, Anderson County, Texas",1944,453
1400000US48001950500,48001950500,"Census Tract 9505, Anderson County, Texas",4285,582
1400000US48001950600,48001950600,"Census Tract 9506, Anderson County, Texas",5715,503
1400000US48001950700,48001950700,"Census Tract 9507, Anderson County, Texas",3796,502
1400000US48001950800,48001950800,"Census Tract 9508, Anderson County, Texas",4163,635
1400000US48001950901,48001950901,"Census Tract 9509.01, Anderson County, Texas",6241,913
1400000US48001950902,48001950902,"Census Tract 9509.02, Anderson County, Texas",5650,639
1400000US48001951000,48001951000,"Census Tract 9510, Anderson County, Texas",7442,789
1400000US48001951100,48001951100,"Census Tract 9511, Anderson County, Texas",5718,636
1400000US48003950100,48003950100,"Census Tract 9501, Andrews County, Texas",1697,195
1400000US48003950200,48003950200,"Census Tract 9502, Andrews County, Texas",6354,386
1400000US48003950300,48003950300,"Census Tract 9503, Andrews County, Texas",4010,369
1400000US48003950400,48003950400,"Census Tract 9504, Andrews County, Texas",2439,249
1400000US48005000101,48005000101,"Census Tract 1.01, Angelina County, Texas",5984,684
1400000US48005000102,48005000102,"Census Tract 1.02, Angelina County, Texas",5157,536
1400000US48005000200,48005000200,"Census Tract 2, Angelina County, Texas",6568,694
1400000US48005000301,48005000301,"Census Tract 3.01, Angelina County, Texas",5509,708
1400000US48005000302,48005000302,"Census Tract 3.02, Angelina County, Texas",4454,483
1400000US48005000400,48005000400,"Census Tract 4, Angelina County, Texas",5333,615
1400000US48005000500,48005000500,"Census Tract 5, Angelina County, Texas",4065,596
1400000US48005000600,48005000600,"Census Tract 6, Angelina County, Texas",6789,762
1400000US48005000700,48005000700,"Census Tract 7, Angelina County, Texas",3579,482
1400000US48005000800,48005000800,"Census Tract 8, Angelina County, Texas",5867,573
1400000US48005000901,48005000901,"Census Tract 9.01, Angelina County, Texas",6409,542
1400000US48005000902,48005000902,"Census Tract 9.02, Angelina County, Texas",2814,380
1400000US48005001001,48005001001,"Census Tract 10.01, Angelina County, Texas",5682,657
1400000US48005001002,48005001002,"Census Tract 10.02, Angelina County, Texas",3759,490
1400000US48005001100,48005001100,"Census Tract 11, Angelina County, Texas",6278,589
1400000US48005001200,48005001200,"Census Tract 12, Angelina County, Texas",2650,399
