GEO_id,GEO_id2,GEO_display_label,HD01_VD01,HD02_VD01
1400000US48001950100,48001950100,"Census Tract 9501, Anderson County, Texas",5477,674
1400000US48001950401,48001950401,"Census Tract 9504.01, Anderson County, Texas",6773,429
1400000US48001950402,48001950402,"Census Tract 9504.02, Anderson County, Texas",3192,531
1400000US48001950500,48001950500,"Census Tract 9505, Anderson County, Texas",4538,556
1400000US48001950600,48001950600,"Census Tract 9506, Anderson County, Texas",6233,576
1400000US48001950700,48001950700,"Census Tract 9507, Anderson County, Texas",3154,429
1400000US48001950800,48001950800,"Census Tract 9508, Anderson County, Texas",4715,453
1400000US48001950901,48001950901,"Census Tract 9509.01, Anderson County, Texas",5939,650
1400000US48001950902,48001950902,"Census Tract 9509.02, Anderson County, Texas",5207,628
1400000US48001951000,48001951000,"Census Tract 9510, Anderson County, Texas",7528,605
1400000US48001951100,48001951100,"Census Tract 9511, Anderson County, Texas",5513,624
1400000US48003950100,48003950100,"Census Tract 9501, Andrews County, Texas",1893,219
1400000US48003950200,48003950200,"Census Tract 9502, Andrews County, Texas",6646,421
1400000US48003950300,48003950300,"Census Tract 9503, Andrews County, Texas",3972,424
1400000US48003950400,48003950400,"Census Tract 9504, Andrews County, Texas",2495,290
1400000US48005000101,48005000101,"Census Tract 1.01, Angelina County, Texas",5954,638
1400000US48005000102,48005000102,"Census Tract 1.02, Angelina County, Texas",4768,409
1400000US48005000200,48005000200,"Census Tract 2, Angelina County, Texas",6196,537
1400000US48005000301,48005000301,"Census Tract 3.01, Angelina County, Texas",5381,613
1400000US48005000302,48005000302,"Census Tract 3.02, Angelina County, Texas",4656,455
1400000US48005000400,48005000400,"Census Tract 4, Angelina County, Texas",5583,613
1400000US48005000500,48005000500,"Census Tract 5, Angelina County, Texas",4046,473
1400000US48005000600,48005000600,"Census Tract 6, Angelina County, Texas",6725,606
1400000US48005000700,48005000700,"Census Tract 7, Angelina County, Texas",3956,452
1400000US48005000800,48005000800,"Census Tract 8, Angelina County, Texas",5630,648
1400000US48005000901,48005000901,"Census Tract 9.01, Angelina County, Texas",6527,476
1400000US48005000902,48005000902,"Census Tract 9.02, Angelina County, Texas",2767,378
1400000US48005001001,48005001001,"Census Tract 10.01, Angelina County, Texas",5935,449
1400000US48005001002,48005001002,"Census Tract 10.02, Angelina County, Texas",4165,389
1400000US48005001100,48005001100,"Census Tract 11, Angelina County, Texas",6399,615
1400000US48005001200,48005001200,"Census Tract 12, Angelina County, Texas",2814,441
1400000US48005001300,48005001300,"Census Tract 13, Angelina County, Texas",5048,545
1400000US48007950100,48007950100,"Census Tract 9501, Aransas County, Texas",5798,591
1400000US48007950200,48007950200,"Census Tract 9502, Aransas County, Texas",1179,146
1400000US48007950300,48007950300,"Census Tract 9503, Aransas County, Texas",7009,427
1400000US48007950400,48007950400,"Census Tract 9504, Aransas County, Texas",3491,484
1400000US48007950500,48007950500,"Census Tract 9505, Aransas County, Texas",5914,584
1400000US48007990000,48007990000,"Census Tract 9900, Aransas County, Texas",0,13
1400000US48009020100,48009020100,"Census Tract 201, Archer County, Texas",2728,186
1400000US48009020200,48009020200,"Census Tract 202, Archer County, Texas",2743,209
1400000US48009020300,48009020300,"Census Tract 203, Archer County, Texas",3473,223
1400000US48011950100,48011950100,"Census Tract 9501, Armstrong County, Texas",1820,116
1400000US48013960100,48013960100,"Census Tract 9601, Atascosa County, Texas",6186,588
1400000US48013960201,48013960201,"Census Tract 9602.01, Atascosa County, Texas",6765,729
1400000US48013960202,48013960202,"Census Tract 9602.02, Atascosa County, Texas",10375,869
1400000US48013960300,48013960300,"Census Tract 9603, Atascosa County, Texas",3592,166
1400000US48013960401,48013960401,"Census Tract 9604.01, Atascosa County, Texas",2340,467
1400000US48013960402,48013960402,"Census Tract 9604.02, Atascosa County, Texas",7623,621
1400000US48013960500,48013960500,"Census Tract 9605, Atascosa County, Texas",2511,349
1400000US48013960600,48013960600,"Census Tract 9606, Atascosa County, Texas",5699,374
1400000US48015760100,48015760100,"Census Tract 7601, Austin County, Texas",2304,299
1400000US48015760200,48015760200,"Census Tract 7602, Austin County, Texas",6218,494
1400000US48015760300,48015760300,"Census Tract 7603, Austin County, Texas",7183,615
1400000US48015760400,48015760400,"Census Tract 7604, Austin County, Texas",3682,512
1400000US48015760501,48015760501,"Census Tract 7605.01, Austin County, Texas",4217,486
1400000US48015760502,48015760502,"Census Tract 7605.02, Austin County, Texas",4768,445
1400000US48017950100,48017950100,"Census Tract 9501, Bailey County, Texas",7096,
1400000US48019000101,48019000101,"Census Tract 1.01, Bandera County, Texas",4724,536
1400000US48019000102,48019000102,"Census Tract 1.02, Bandera County, Texas",4612,575
1400000US48019000200,48019000200,"Census Tract 2, Bandera County, Texas",2544,303
1400000US48019000300,48019000300,"Census Tract 3, Bandera County, Texas",6575,655
1400000US48019000400,48019000400,"Census Tract 4, Bandera County, Texas",2022,341
1400000US48021950100,48021950100,"Census Tract 9501, Bastrop County, Texas",9280,823
1400000US48021950200,48021950200,"Census Tract 9502, Bastrop County, Texas",8046,309
1400000US48021950300,48021950300,"Census Tract 9503, Bastrop County, Texas",12261,886
1400000US48021950400,48021950400,"Census Tract 9504, Bastrop County, Texas",7833,764
1400000US48021950501,48021950501,"Census Tract 9505.01, Bastrop County, Texas",8005,693
1400000US48021950502,48021950502,"Census Tract 9505.02, Bastrop County, Texas",5868,591
1400000US48021950600,48021950600,"Census Tract 9506, Bastrop County, Texas",4946,565
1400000US48021950700,48021950700,"Census Tract 9507, Bastrop County, Texas",3995,125
1400000US48021950801,48021950801,"Census Tract 9508.01, Bastrop County, Texas",6496,849
1400000US48021950802,48021950802,"Census Tract 9508.02, Bastrop County, Texas",7293,938
1400000US48023950300,48023950300,"Census Tract 9503, Baylor County, Texas",3706,
1400000US48025950100,48025950100,"Census Tract 9501, Bee County, Texas",2267,358
1400000US48025950201,48025950201,"Census Tract 9502.01, Bee County, Texas",7326,515
1400000US48025950202,48025950202,"Census Tract 9502.02, Bee County, Texas",5064,502
1400000US48025950300,48025950300,"Census Tract 9503, Bee County, Texas",4540,495
1400000US48025950400,48025950400,"Census Tract 9504, Bee County, Texas",2052,240
1400000US48025950500,48025950500,"Census Tract 9505, Bee County, Texas",8369,655
1400000US48025950600,48025950600,"Census Tract 9506, Bee County, Texas",2465,319
1400000US48027020100,48027020100,"Census Tract 201, Bell County, Texas",6831,450
1400000US48027020201,48027020201,"Census Tract 202.01, Bell County, Texas",6601,632
1400000US48027020202,48027020202,"Census Tract 202.02, Bell County, Texas",5505,693
1400000US48027020300,48027020300,"Census Tract 203, Bell County, Texas",9107,733
1400000US48027020401,48027020401,"Census Tract 204.01, Bell County, Texas",2554,464
1400000US48027020402,48027020402,"Census Tract 204.02, Bell County, Texas",2032,450
1400000US48027020500,48027020500,"Census Tract 205, Bell County, Texas",3925,408
1400000US48027020600,48027020600,"Census Tract 206, Bell County, Texas",3006,409
1400000US48027020701,48027020701,"Census Tract 207.01, Bell County, Texas",1128,190
1400000US48027020702,48027020702,"Census Tract 207.02, Bell County, Texas",1903,371
1400000US48027020800,48027020800,"Census Tract 208, Bell County, Texas",2931,501
1400000US48027020900,48027020900,"Census Tract 209, Bell County, Texas",2197,454
1400000US48027021000,48027021000,"Census Tract 210, Bell County, Texas",4130,638
1400000US48027021100,48027021100,"Census Tract 211, Bell County, Texas",5636,675
1400000US48027021201,48027021201,"Census Tract 212.01, Bell County, Texas",3226,547
1400000US48027021202,48027021202,"Census Tract 212.02, Bell County, Texas",4065,606
1400000US48027021203,48027021203,"Census Tract 212.03, Bell County, Texas",4223,451
1400000US48027021301,48027021301,"Census Tract 213.01, Bell County, Texas",5601,554
1400000US48027021302,48027021302,"Census Tract 213.02, Bell County, Texas",3381,418
1400000US48027021303,48027021303,"Census Tract 213.03, Bell County, Texas",5996,667
1400000US48027021400,48027021400,"Census Tract 214, Bell County, Texas",3743,336
1400000US48027021500,48027021500,"Census Tract 215, Bell County, Texas",5658,623
1400000US48027021601,48027021601,"Census Tract 216.01, Bell County, Texas",5226,584
1400000US48027021602,48027021602,"Census Tract 216.02, Bell County, Texas",2437,365
1400000US48027021700,48027021700,"Census Tract 217, Bell County, Texas",8151,596
1400000US48027021800,48027021800,"Census Tract 218, Bell County, Texas",7017,640
1400000US48027021901,48027021901,"Census Tract 219.01, Bell County, Texas",3401,381
1400000US48027021903,48027021903,"Census Tract 219.03, Bell County, Texas",9067,711
1400000US48027021904,48027021904,"Census Tract 219.04, Bell County, Texas",8149,886
1400000US48027022000,48027022000,"Census Tract 220, Bell County, Texas",7977,869
1400000US48027022101,48027022101,"Census Tract 221.01, Bell County, Texas",4315,580
1400000US48027022103,48027022103,"Census Tract 221.03, Bell County, Texas",5585,516
1400000US48027022104,48027022104,"Census Tract 221.04, Bell County, Texas",4259,566
1400000US48027022105,48027022105,"Census Tract 221.05, Bell County, Texas",1985,331
1400000US48027022200,48027022200,"Census Tract 222, Bell County, Texas",3498,434
1400000US48027022300,48027022300,"Census Tract 223, Bell County, Texas",3715,468
1400000US48027022401,48027022401,"Census Tract 224.01, Bell County, Texas",5672,735
1400000US48027022402,48027022402,"Census Tract 224.02, Bell County, Texas",3775,523
1400000US48027022403,48027022403,"Census Tract 224.03, Bell County, Texas",4428,548
1400000US48027022404,48027022404,"Census Tract 224.04, Bell County, Texas",7705,810
1400000US48027022405,48027022405,"Census Tract 224.05, Bell County, Texas",1848,428
1400000US48027022501,48027022501,"Census Tract 225.01, Bell County, Texas",3603,655
1400000US48027022502,48027022502,"Census Tract 225.02, Bell County, Texas",9432,855
1400000US48027022600,48027022600,"Census Tract 226, Bell County, Texas",4019,667
1400000US48027022801,48027022801,"Census Tract 228.01, Bell County, Texas",2733,412
1400000US48027022900,48027022900,"Census Tract 229, Bell County, Texas",3477,518
1400000US48027023000,48027023000,"Census Tract 230, Bell County, Texas",6773,575
1400000US48027023103,48027023103,"Census Tract 231.03, Bell County, Texas",4516,422
1400000US48027023104,48027023104,"Census Tract 231.04, Bell County, Texas",4308,533
1400000US48027023105,48027023105,"Census Tract 231.05, Bell County, Texas",7574,903
1400000US48027023106,48027023106,"Census Tract 231.06, Bell County, Texas",9205,890
1400000US48027023107,48027023107,"Census Tract 231.07, Bell County, Texas",7505,918
1400000US48027023108,48027023108,"Census Tract 231.08, Bell County, Texas",15073,1520
1400000US48027023201,48027023201,"Census Tract 232.01, Bell County, Texas",2542,253
1400000US48027023202,48027023202,"Census Tract 232.02, Bell County, Texas",8480,603
1400000US48027023203,48027023203,"Census Tract 232.03, Bell County, Texas",2800,404
1400000US48027023204,48027023204,"Census Tract 232.04, Bell County, Texas",5100,481
1400000US48027023300,48027023300,"Census Tract 233, Bell County, Texas",6560,503
1400000US48027023402,48027023402,"Census Tract 234.02, Bell County, Texas",4167,447
1400000US48027023403,48027023403,"Census Tract 234.03, Bell County, Texas",5021,475
1400000US48027023404,48027023404,"Census Tract 234.04, Bell County, Texas",2889,459
1400000US48027023500,48027023500,"Census Tract 235, Bell County, Texas",1981,376
1400000US48027980001,48027980001,"Census Tract 9800.01, Bell County, Texas",795,229
1400000US48027980002,48027980002,"Census Tract 9800.02, Bell County, Texas",13,24
1400000US48027980003,48027980003,"Census Tract 9800.03, Bell County, Texas",0,13
1400000US48029110100,48029110100,"Census Tract 1101, Bexar County, Texas",2854,353
1400000US48029110300,48029110300,"Census Tract 1103, Bexar County, Texas",3148,407
1400000US48029110500,48029110500,"Census Tract 1105, Bexar County, Texas",2128,269
1400000US48029110600,48029110600,"Census Tract 1106, Bexar County, Texas",7808,607
1400000US48029110700,48029110700,"Census Tract 1107, Bexar County, Texas",2116,604
1400000US48029110800,48029110800,"Census Tract 1108, Bexar County, Texas",1650,261
1400000US48029110900,48029110900,"Census Tract 1109, Bexar County, Texas",444,254
1400000US48029111000,48029111000,"Census Tract 1110, Bexar County, Texas",1681,249
1400000US48029120100,48029120100,"Census Tract 1201, Bexar County, Texas",7146,662
1400000US48029120300,48029120300,"Census Tract 1203, Bexar County, Texas",7131,20
1400000US48029120400,48029120400,"Census Tract 1204, Bexar County, Texas",5875,293
1400000US48029120501,48029120501,"Census Tract 1205.01, Bexar County, Texas",7433,888
1400000US48029120502,48029120502,"Census Tract 1205.02, Bexar County, Texas",5010,561
1400000US48029120600,48029120600,"Census Tract 1206, Bexar County, Texas",6050,531
1400000US48029120701,48029120701,"Census Tract 1207.01, Bexar County, Texas",5039,674
1400000US48029120702,48029120702,"Census Tract 1207.02, Bexar County, Texas",4537,431
1400000US48029120800,48029120800,"Census Tract 1208, Bexar County, Texas",6843,416
1400000US48029120901,48029120901,"Census Tract 1209.01, Bexar County, Texas",2189,305
1400000US48029120902,48029120902,"Census Tract 1209.02, Bexar County, Texas",6752,953
1400000US48029121000,48029121000,"Census Tract 1210, Bexar County, Texas",6839,653
1400000US48029121108,48029121108,"Census Tract 1211.08, Bexar County, Texas",7073,512
1400000US48029121110,48029121110,"Census Tract 1211.10, Bexar County, Texas",5104,384
1400000US48029121111,48029121111,"Census Tract 1211.11, Bexar County, Texas",6772,714
1400000US48029121112,48029121112,"Census Tract 1211.12, Bexar County, Texas",3860,257
1400000US48029121115,48029121115,"Census Tract 1211.15, Bexar County, Texas",5321,425
1400000US48029121116,48029121116,"Census Tract 1211.16, Bexar County, Texas",4944,435
1400000US48029121117,48029121117,"Census Tract 1211.17, Bexar County, Texas",4358,349
1400000US48029121118,48029121118,"Census Tract 1211.18, Bexar County, Texas",6047,575
1400000US48029121119,48029121119,"Census Tract 1211.19, Bexar County, Texas",5261,414
1400000US48029121120,48029121120,"Census Tract 1211.20, Bexar County, Texas",5536,466
1400000US48029121121,48029121121,"Census Tract 1211.21, Bexar County, Texas",2865,163
1400000US48029121122,48029121122,"Census Tract 1211.22, Bexar County, Texas",5402,335
1400000US48029121203,48029121203,"Census Tract 1212.03, Bexar County, Texas",3921,376
1400000US48029121204,48029121204,"Census Tract 1212.04, Bexar County, Texas",7530,610
1400000US48029121205,48029121205,"Census Tract 1212.05, Bexar County, Texas",3889,567
1400000US48029121206,48029121206,"Census Tract 1212.06, Bexar County, Texas",8067,660
1400000US48029121300,48029121300,"Census Tract 1213, Bexar County, Texas",6039,475
1400000US48029121402,48029121402,"Census Tract 1214.02, Bexar County, Texas",5341,499
1400000US48029121403,48029121403,"Census Tract 1214.03, Bexar County, Texas",5217,501
1400000US48029121404,48029121404,"Census Tract 1214.04, Bexar County, Texas",5102,463
1400000US48029121501,48029121501,"Census Tract 1215.01, Bexar County, Texas",7542,441
1400000US48029121504,48029121504,"Census Tract 1215.04, Bexar County, Texas",6907,577
1400000US48029121505,48029121505,"Census Tract 1215.05, Bexar County, Texas",4660,361
1400000US48029121506,48029121506,"Census Tract 1215.06, Bexar County, Texas",5100,557
1400000US48029121507,48029121507,"Census Tract 1215.07, Bexar County, Texas",4522,463
1400000US48029121508,48029121508,"Census Tract 1215.08, Bexar County, Texas",5009,471
1400000US48029121601,48029121601,"Census Tract 1216.01, Bexar County, Texas",4593,462
1400000US48029121604,48029121604,"Census Tract 1216.04, Bexar County, Texas",7590,550
1400000US48029121605,48029121605,"Census Tract 1216.05, Bexar County, Texas",2333,225
1400000US48029121606,48029121606,"Census Tract 1216.06, Bexar County, Texas",4981,404
1400000US48029121701,48029121701,"Census Tract 1217.01, Bexar County, Texas",4030,533
1400000US48029121702,48029121702,"Census Tract 1217.02, Bexar County, Texas",6469,665
