GEO_id,GEO_id2,GEO_display_label,HD01_VD01,HD02_VD01
1400000US48001950100,48001950100,"Census Tract 9501, Anderson County, Texas",4782,454
1400000US48001950401,48001950401,"Census Tract 9504.01, Anderson County, Texas",5166,311
1400000US48001950402,48001950402,"Census Tract 9504.02, Anderson County, Texas",6802,606
1400000US48001950500,48001950500,"Census Tract 9505, Anderson County, Texas",4587,402
1400000US48001950600,48001950600,"Census Tract 9506, Anderson County, Texas",6658,600
1400000US48001950700,48001950700,"Census Tract 9507, Anderson County, Texas",2644,340
1400000US48001950800,48001950800,"Census Tract 9508, Anderson County, Texas",4871,445
1400000US48001950901,48001950901,"Census Tract 9509.01, Anderson County, Texas",5751,506
1400000US48001950902,48001950902,"Census Tract 9509.02, Anderson County, Texas",4980,741
1400000US48001951000,48001951000,"Census Tract 9510, Anderson County, Texas",7079,560
1400000US48001951100,48001951100,"Census Tract 9511, Anderson County, Texas",4595,550
1400000US48003950100,48003950100,"Census Tract 9501, Andrews County, Texas",2160,267
1400000US48003950200,48003950200,"Census Tract 9502, Andrews County, Texas",7008,463
1400000US48003950300,48003950300,"Census Tract 9503, Andrews County, Texas",4622,491
1400000US48003950400,48003950400,"Census Tract 9504, Andrews County, Texas",2985,179
1400000US48005000101,48005000101,"Census Tract 1.01, Angelina County, Texas",6093,607
1400000US48005000102,48005000102,"Census Tract 1.02, Angelina County, Texas",4801,449
1400000US48005000200,48005000200,"Census Tract 2, Angelina County, Texas",6588,588
1400000US48005000301,48005000301,"Census Tract 3.01, Angelina County, Texas",4967,459
1400000US48005000302,48005000302,"Census Tract 3.02, Angelina County, Texas",4670,355
1400000US48005000400,48005000400,"Census Tract 4, Angelina County, Texas",5187,673
1400000US48005000500,48005000500,"Census Tract 5, Angelina County, Texas",3666,346
1400000US48005000600,48005000600,"Census Tract 6, Angelina County, Texas",7010,591
1400000US48005000700,48005000700,"Census Tract 7, Angelina County, Texas",4048,404
1400000US48005000800,48005000800,"Census Tract 8, Angelina County, Texas",6175,592
1400000US48005000901,48005000901,"Census Tract 9.01, Angelina County, Texas",6846,541
1400000US48005000902,48005000902,"Census Tract 9.02, Angelina County, Texas",3161,335
1400000US48005001001,48005001001,"Census Tract 10.01, Angelina County, Texas",5629,506
1400000US48005001002,48005001002,"Census Tract 10.02, Angelina County, Texas",4452,381
1400000US48005001100,48005001100,"Census Tract 11, Angelina County, Texas",6237,574
1400000US48005001200,48005001200,"Census Tract 12, Angelina County, Texas",2944,409
1400000US48005001300,48005001300,"Census Tract 13, Angelina County, Texas",5274,553
1400000US48007950100,48007950100,"Census Tract 9501, Aransas County, Texas",5610,584
1400000US48007950200,48007950200,"Census Tract 9502, Aransas County, Texas",1121,160
1400000US48007950300,48007950300,"Census Tract 9503, Aransas County, Texas",7231,588
1400000US48007950400,48007950400,"Census Tract 9504, Aransas County, Texas",3997,468
1400000US48007950500,48007950500,"Census Tract 9505, Aransas County, Texas",6333,774
1400000US48007990000,48007990000,"Census Tract 9900, Aransas County, Texas",0,13
1400000US48009020100,48009020100,"Census Tract 201, Archer County, Texas",2835,225
1400000US48009020200,48009020200,"Census Tract 202, Archer County, Texas",2540,217
1400000US48009020300,48009020300,"Census Tract 203, Archer County, Texas",3404,235
1400000US48011950100,48011950100,"Census Tract 9501, Armstrong County, Texas",1943,88
1400000US48013960100,48013960100,"Census Tract 9601, Atascosa County, Texas",7307,570
1400000US48013960201,48013960201,"Census Tract 9602.01, Atascosa County, Texas",7169,597
1400000US48013960202,48013960202,"Census Tract 9602.02, Atascosa County, Texas",9878,779
1400000US48013960300,48013960300,"Census Tract 9603, Atascosa County, Texas",3847,238
1400000US48013960401,48013960401,"Census Tract 9604.01, Atascosa County, Texas",2136,369
1400000US48013960402,48013960402,"Census Tract 9604.02, Atascosa County, Texas",7963,487
1400000US48013960500,48013960500,"Census Tract 9605, Atascosa County, Texas",2839,398
1400000US48013960600,48013960600,"Census Tract 9606, Atascosa County, Texas",5911,447
1400000US48015760100,48015760100,"Census Tract 7601, Austin County, Texas",2484,319
1400000US48015760200,48015760200,"Census Tract 7602, Austin County, Texas",5950,393
1400000US48015760300,48015760300,"Census Tract 7603, Austin County, Texas",7171,498
1400000US48015760400,48015760400,"Census Tract 7604, Austin County, Texas",3292,347
1400000US48015760501,48015760501,"Census Tract 7605.01, Austin County, Texas",4736,449
1400000US48015760502,48015760502,"Census Tract 7605.02, Austin County, Texas",5253,444
1400000US48017950100,48017950100,"Census Tract 9501, Bailey County, Texas",7126,
1400000US48019000101,48019000101,"Census Tract 1.01, Bandera County, Texas",4705,457
1400000US48019000102,48019000102,"Census Tract 1.02, Bandera County, Texas",4871,601
1400000US48019000200,48019000200,"Census Tract 2, Bandera County, Texas",2817,557
1400000US48019000300,48019000300,"Census Tract 3, Bandera County, Texas",6025,657
1400000US48019000400,48019000400,"Census Tract 4, Bandera County, Texas",2378,368
1400000US48021950100,48021950100,"Census Tract 9501, Bastrop County, Texas",8626,802
1400000US48021950200,48021950200,"Census Tract 9502, Bastrop County, Texas",8046,285
1400000US48021950300,48021950300,"Census Tract 9503, Bastrop County, Texas",14320,1330
1400000US48021950400,48021950400,"Census Tract 9504, Bastrop County, Texas",8201,694
1400000US48021950501,48021950501,"Census Tract 9505.01, Bastrop County, Texas",8135,686
1400000US48021950502,48021950502,"Census Tract 9505.02, Bastrop County, Texas",5929,843
1400000US48021950600,48021950600,"Census Tract 9506, Bastrop County, Texas",5272,721
1400000US48021950700,48021950700,"Census Tract 9507, Bastrop County, Texas",4377,401
1400000US48021950801,48021950801,"Census Tract 9508.01, Bastrop County, Texas",7206,961
1400000US48021950802,48021950802,"Census Tract 9508.02, Bastrop County, Texas",6836,898
1400000US48023950300,48023950300,"Census Tract 9503, Baylor County, Texas",3628,
1400000US48025950100,48025950100,"Census Tract 9501, Bee County, Texas",1901,282
1400000US48025950201,48025950201,"Census Tract 9502.01, Bee County, Texas",8337,466
1400000US48025950202,48025950202,"Census Tract 9502.02, Bee County, Texas",5207,464
1400000US48025950300,48025950300,"Census Tract 9503, Bee County, Texas",5152,485
1400000US48025950400,48025950400,"Census Tract 9504, Bee County, Texas",2268,289
1400000US48025950500,48025950500,"Census Tract 9505, Bee County, Texas",7370,542
1400000US48025950600,48025950600,"Census Tract 9506, Bee County, Texas",2424,304
1400000US48027020100,48027020100,"Census Tract 201, Bell County, Texas",6264,506
1400000US48027020201,48027020201,"Census Tract 202.01, Bell County, Texas",7593,743
1400000US48027020202,48027020202,"Census Tract 202.02, Bell County, Texas",5959,669
1400000US48027020300,48027020300,"Census Tract 203, Bell County, Texas",9236,593
1400000US48027020401,48027020401,"Census Tract 204.01, Bell County, Texas",2976,338
1400000US48027020402,48027020402,"Census Tract 204.02, Bell County, Texas",2160,534
1400000US48027020500,48027020500,"Census Tract 205, Bell County, Texas",3968,405
1400000US48027020600,48027020600,"Census Tract 206, Bell County, Texas",2968,392
1400000US48027020701,48027020701,"Census Tract 207.01, Bell County, Texas",1417,179
1400000US48027020702,48027020702,"Census Tract 207.02, Bell County, Texas",2030,310
1400000US48027020800,48027020800,"Census Tract 208, Bell County, Texas",4071,568
1400000US48027020900,48027020900,"Census Tract 209, Bell County, Texas",2579,289
1400000US48027021000,48027021000,"Census Tract 210, Bell County, Texas",4270,560
1400000US48027021100,48027021100,"Census Tract 211, Bell County, Texas",5844,628
1400000US48027021201,48027021201,"Census Tract 212.01, Bell County, Texas",2676,333
1400000US48027021202,48027021202,"Census Tract 212.02, Bell County, Texas",4411,465
1400000US48027021203,48027021203,"Census Tract 212.03, Bell County, Texas",3970,466
1400000US48027021301,48027021301,"Census Tract 213.01, Bell County, Texas",4779,469
1400000US48027021302,48027021302,"Census Tract 213.02, Bell County, Texas",3378,313
1400000US48027021303,48027021303,"Census Tract 213.03, Bell County, Texas",6939,627
1400000US48027021400,48027021400,"Census Tract 214, Bell County, Texas",3875,353
1400000US48027021500,48027021500,"Census Tract 215, Bell County, Texas",6621,894
1400000US48027021601,48027021601,"Census Tract 216.01, Bell County, Texas",5407,551
1400000US48027021602,48027021602,"Census Tract 216.02, Bell County, Texas",2628,977
1400000US48027021700,48027021700,"Census Tract 217, Bell County, Texas",8610,838
1400000US48027021800,48027021800,"Census Tract 218, Bell County, Texas",7640,690
1400000US48027021901,48027021901,"Census Tract 219.01, Bell County, Texas",3768,408
1400000US48027021903,48027021903,"Census Tract 219.03, Bell County, Texas",8969,661
1400000US48027021904,48027021904,"Census Tract 219.04, Bell County, Texas",9741,756
1400000US48027022000,48027022000,"Census Tract 220, Bell County, Texas",7909,736
1400000US48027022101,48027022101,"Census Tract 221.01, Bell County, Texas",4383,635
1400000US48027022103,48027022103,"Census Tract 221.03, Bell County, Texas",5015,488
1400000US48027022104,48027022104,"Census Tract 221.04, Bell County, Texas",3812,471
1400000US48027022105,48027022105,"Census Tract 221.05, Bell County, Texas",2153,322
1400000US48027022200,48027022200,"Census Tract 222, Bell County, Texas",3302,435
1400000US48027022300,48027022300,"Census Tract 223, Bell County, Texas",4035,528
1400000US48027022401,48027022401,"Census Tract 224.01, Bell County, Texas",6542,628
1400000US48027022402,48027022402,"Census Tract 224.02, Bell County, Texas",6612,668
1400000US48027022403,48027022403,"Census Tract 224.03, Bell County, Texas",4124,420
1400000US48027022404,48027022404,"Census Tract 224.04, Bell County, Texas",8375,921
1400000US48027022405,48027022405,"Census Tract 224.05, Bell County, Texas",1983,279
1400000US48027022501,48027022501,"Census Tract 225.01, Bell County, Texas",2866,473
1400000US48027022502,48027022502,"Census Tract 225.02, Bell County, Texas",9872,824
1400000US48027022600,48027022600,"Census Tract 226, Bell County, Texas",3903,508
1400000US48027022801,48027022801,"Census Tract 228.01, Bell County, Texas",2335,290
