GEO_id,GEO_id2,GEO_display_label,HD01_VD01,HD02_VD01
1400000US48027020100,48027020100,"Census Tract 201, Bell County, Texas",6668,574
1400000US48027020201,48027020201,"Census Tract 202.01, Bell County, Texas",7039,575
1400000US48027020202,48027020202,"Census Tract 202.02, Bell County, Texas",5843,748
1400000US48027020300,48027020300,"Census Tract 203, Bell County, Texas",8972,636
1400000US48027020401,48027020401,"Census Tract 204.01, Bell County, Texas",2825,451
1400000US48027020402,48027020402,"Census Tract 204.02, Bell County, Texas",2076,420
1400000US48027020500,48027020500,"Census Tract 205, Bell County, Texas",4353,370
1400000US48027020600,48027020600,"Census Tract 206, Bell County, Texas",2773,418
1400000US48027020701,48027020701,"Census Tract 207.01, Bell County, Texas",1152,246
1400000US48027020702,48027020702,"Census Tract 207.02, Bell County, Texas",2448,374
1400000US48027020800,48027020800,"Census Tract 208, Bell County, Texas",3385,474
1400000US48027020900,48027020900,"Census Tract 209, Bell County, Texas",2320,446
1400000US48027021000,48027021000,"Census Tract 210, Bell County, Texas",4012,535
1400000US48027021100,48027021100,"Census Tract 211, Bell County, Texas",5688,768
1400000US48027021201,48027021201,"Census Tract 212.01, Bell County, Texas",3097,511
1400000US48027021202,48027021202,"Census Tract 212.02, Bell County, Texas",3924,563
1400000US48027021203,48027021203,"Census Tract 212.03, Bell County, Texas",4475,409
1400000US48027021301,48027021301,"Census Tract 213.01, Bell County, Texas",4910,578
1400000US48027021302,48027021302,"Census Tract 213.02, Bell County, Texas",3081,412
1400000US48027021303,48027021303,"Census Tract 213.03, Bell County, Texas",6385,631
1400000US48027021400,48027021400,"Census Tract 214, Bell County, Texas",3667,326
1400000US48027021500,48027021500,"Census Tract 215, Bell County, Texas",6267,651
1400000US48027021601,48027021601,"Census Tract 216.01, Bell County, Texas",5323,584
1400000US48027021602,48027021602,"Census Tract 216.02, Bell County, Texas",2554,432
1400000US48027021700,48027021700,"Census Tract 217, Bell County, Texas",7829,655
1400000US48027021800,48027021800,"Census Tract 218, Bell County, Texas",6972,710
1400000US48027021901,48027021901,"Census Tract 219.01, Bell County, Texas",3542,336
1400000US48027021903,48027021903,"Census Tract 219.03, Bell County, Texas",9497,856
1400000US48027021904,48027021904,"Census Tract 219.04, Bell County, Texas",8495,851
1400000US48027022000,48027022000,"Census Tract 220, Bell County, Texas",8131,889
1400000US48027022101,48027022101,"Census Tract 221.01, Bell County, Texas",4372,551
1400000US48027022103,48027022103,"Census Tract 221.03, Bell County, Texas",5370,450
1400000US48027022104,48027022104,"Census Tract 221.04, Bell County, Texas",4135,520
1400000US48027022105,48027022105,"Census Tract 221.05, Bell County, Texas",1857,381
1400000US48027022200,48027022200,"Census Tract 222, Bell County, Texas",3210,404
1400000US48027022300,48027022300,"Census Tract 223, Bell County, Texas",4109,568
1400000US48027022401,48027022401,"Census Tract 224.01, Bell County, Texas",5819,685
1400000US48027022402,48027022402,"Census Tract 224.02, Bell County, Texas",4768,568
1400000US48027022403,48027022403,"Census Tract 224.03, Bell County, Texas",3914,670
1400000US48027022404,48027022404,"Census Tract 224.04, Bell County, Texas",8256,773
1400000US48027022405,48027022405,"Census Tract 224.05, Bell County, Texas",1501,315
1400000US48027022501,48027022501,"Census Tract 225.01, Bell County, Texas",2733,471
1400000US48027022502,48027022502,"Census Tract 225.02, Bell County, Texas",9509,887
1400000US48027022600,48027022600,"Census Tract 226, Bell County, Texas",3809,769
1400000US48027022801,48027022801,"Census Tract 228.01, Bell County, Texas",2734,442
1400000US48027022900,48027022900,"Census Tract 229, Bell County, Texas",4113,561
1400000US48027023000,48027023000,"Census Tract 230, Bell County, Texas",7284,660
1400000US48027023103,48027023103,"Census Tract 231.03, Bell County, Texas",4662,519
1400000US48027023104,48027023104,"Census Tract 231.04, Bell County, Texas",4444,535
1400000US48027023105,48027023105,"Census Tract 231.05, Bell County, Texas",9471,1245
1400000US48027023106,48027023106,"Census Tract 231.06, Bell County, Texas",10299,881
1400000US48027023107,48027023107,"Census Tract 231.07, Bell County, Texas",7406,842
1400000US48027023108,48027023108,"Census Tract 231.08, Bell County, Texas",14318,1199
1400000US48027023201,48027023201,"Census Tract 232.01, Bell County, Texas",2377,258
1400000US48027023202,48027023202,"Census Tract 232.02, Bell County, Texas",7461,716
1400000US48027023203,48027023203,"Census Tract 232.03, Bell County, Texas",2897,335
1400000US48027023204,48027023204,"Census Tract 232.04, Bell County, Texas",5136,491
1400000US48027023300,48027023300,"Census Tract 233, Bell County, Texas",7390,637
1400000US48027023402,48027023402,"Census Tract 234.02, Bell County, Texas",4318,512
1400000US48027023403,48027023403,"Census Tract 234.03, Bell County, Texas",5346,619
1400000US48027023404,48027023404,"Census Tract 234.04, Bell County, Texas",2483,359
1400000US48027023500,48027023500,"Census Tract 235, Bell County, Texas",2318,289
1400000US48027980001,48027980001,"Census Tract 9800.01, Bell County, Texas",622,213
1400000US48027980002,48027980002,"Census Tract 9800.02, Bell County, Texas",0,13
1400000US48027980003,48027980003,"Census Tract 9800.03, Bell County, Texas",0,13
1400000US48029110100,48029110100,"Census Tract 1101, Bexar County, Texas",3175,349
1400000US48029110300,48029110300,"Census Tract 1103, Bexar County, Texas",2810,483
1400000US48029110500,48029110500,"Census Tract 1105, Bexar County, Texas",1815,272
1400000US48029110600,48029110600,"Census Tract 1106, Bexar County, Texas",7354,843
1400000US48029110700,48029110700,"Census Tract 1107, Bexar County, Texas",1976,526
1400000US48029110800,48029110800,"Census Tract 1108, Bexar County, Texas",1775,273
1400000US48029110900,48029110900,"Census Tract 1109, Bexar County, Texas",557,168
1400000US48029111000,48029111000,"Census Tract 1110, Bexar County, Texas",1917,302
1400000US48029120100,48029120100,"Census Tract 1201, Bexar County, Texas",7100,593
1400000US48029120300,48029120300,"Census Tract 1203, Bexar County, Texas",7247,43
1400000US48029120400,48029120400,"Census Tract 1204, Bexar County, Texas",5977,246
1400000US48029120501,48029120501,"Census Tract 1205.01, Bexar County, Texas",8023,850
1400000US48029120502,48029120502,"Census Tract 1205.02, Bexar County, Texas",5227,453
1400000US48029120600,48029120600,"Census Tract 1206, Bexar County, Texas",5862,510
1400000US48029120701,48029120701,"Census Tract 1207.01, Bexar County, Texas",5263,584
1400000US48029120702,48029120702,"Census Tract 1207.02, Bexar County, Texas",4735,530
1400000US48029120800,48029120800,"Census Tract 1208, Bexar County, Texas",6420,384
1400000US48029120901,48029120901,"Census Tract 1209.01, Bexar County, Texas",2181,264
1400000US48029120902,48029120902,"Census Tract 1209.02, Bexar County, Texas",6787,758
1400000US48029121000,48029121000,"Census Tract 1210, Bexar County, Texas",7226,582
1400000US48029121108,48029121108,"Census Tract 1211.08, Bexar County, Texas",7124,541
1400000US48029121110,48029121110,"Census Tract 1211.10, Bexar County, Texas",5120,229
1400000US48029121111,48029121111,"Census Tract 1211.11, Bexar County, Texas",6175,764
1400000US48029121112,48029121112,"Census Tract 1211.12, Bexar County, Texas",4053,325
1400000US48029121115,48029121115,"Census Tract 1211.15, Bexar County, Texas",5421,347
1400000US48029121116,48029121116,"Census Tract 1211.16, Bexar County, Texas",4882,464
1400000US48029121117,48029121117,"Census Tract 1211.17, Bexar County, Texas",4391,407
1400000US48029121118,48029121118,"Census Tract 1211.18, Bexar County, Texas",6155,461
1400000US48029121119,48029121119,"Census Tract 1211.19, Bexar County, Texas",5523,538
1400000US48029121120,48029121120,"Census Tract 1211.20, Bexar County, Texas",5501,398
1400000US48029121121,48029121121,"Census Tract 1211.21, Bexar County, Texas",3052,180
1400000US48029121122,48029121122,"Census Tract 1211.22, Bexar County, Texas",5275,333
1400000US48029121203,48029121203,"Census Tract 1212.03, Bexar County, Texas",4262,366
1400000US48029121204,48029121204,"Census Tract 1212.04, Bexar County, Texas",7514,597
1400000US48029121205,48029121205,"Census Tract 1212.05, Bexar County, Texas",3936,453
1400000US48029121206,48029121206,"Census Tract 1212.06, Bexar County, Texas",8040,671
1400000US48029121300,48029121300,"Census Tract 1213, Bexar County, Texas",6239,585
1400000US48029121402,48029121402,"Census Tract 1214.02, Bexar County, Texas",5347,532
1400000US48029121403,48029121403,"Census Tract 1214.03, Bexar County, Texas",5347,537
1400000US48029121404,48029121404,"Census Tract 1214.04, Bexar County, Texas",4745,533
1400000US48029121501,48029121501,"Census Tract 1215.01, Bexar County, Texas",7419,520
1400000US48029121504,48029121504,"Census Tract 1215.04, Bexar County, Texas",7214,571
1400000US48029121505,48029121505,"Census Tract 1215.05, Bexar County, Texas",4464,363
1400000US48029121506,48029121506,"Census Tract 1215.06, Bexar County, Texas",4949,484
1400000US48029121507,48029121507,"Census Tract 1215.07, Bexar County, Texas",4361,418
1400000US48029121508,48029121508,"Census Tract 1215.08, Bexar County, Texas",4930,453
1400000US48029121601,48029121601,"Census Tract 1216.01, Bexar County, Texas",4839,419
1400000US48029121604,48029121604,"Census Tract 1216.04, Bexar County, Texas",8255,609
1400000US48029121605,48029121605,"Census Tract 1216.05, Bexar County, Texas",2238,309
1400000US48029121606,48029121606,"Census Tract 1216.06, Bexar County, Texas",5219,455
1400000US48029121701,48029121701,"Census Tract 1217.01, Bexar County, Texas",3868,520
1400000US48029121702,48029121702,"Census Tract 1217.02, Bexar County, Texas",6534,662
1400000US48029121802,48029121802,"Census Tract 1218.02, Bexar County, Texas",8505,696
1400000US48029121803,48029121803,"Census Tract 1218.03, Bexar County, Texas",5031,341
1400000US48029121804,48029121804,"Census Tract 1218.04, Bexar County, Texas",6758,800
1400000US48029121808,48029121808,"Census Tract 1218.08, Bexar County, Texas",3137,271
1400000US48029121809,48029121809,"Census Tract 1218.09, Bexar County, Texas",4908,363
1400000US48029121810,48029121810,"Census Tract 1218.10, Bexar County, Texas",4542,346
1400000US48029121811,48029121811,"Census Tract 1218.11, Bexar County, Texas",4695,303
1400000US48029121812,48029121812,"Census Tract 1218.12, Bexar County, Texas",5802,469
1400000US48029121813,48029121813,"Census Tract 1218.13, Bexar County, Texas",1533,169
1400000US48029121903,48029121903,"Census Tract 1219.03, Bexar County, Texas",5117,337
1400000US48029121904,48029121904,"Census Tract 1219.04, Bexar County, Texas",3735,374
1400000US48029121905,48029121905,"Census Tract 1219.05, Bexar County, Texas",5421,587
1400000US48029121906,48029121906,"Census Tract 1219.06, Bexar County, Texas",5273,495
1400000US48029121907,48029121907,"Census Tract 1219.07, Bexar County, Texas",9925,681
1400000US48029121908,48029121908,"Census Tract 1219.08, Bexar County, Texas",2305,226
1400000US48029121909,48029121909,"Census Tract 1219.09, Bexar County, Texas",4854,468
1400000US48029121910,48029121910,"Census Tract 1219.10, Bexar County, Texas",4618,331
1400000US48029130200,48029130200,"Census Tract 1302, Bexar County, Texas",1972,371
1400000US48029130300,48029130300,"Census Tract 1303, Bexar County, Texas",3041,324
1400000US48029130401,48029130401,"Census Tract 1304.01, Bexar County, Texas",3711,620
1400000US48029130402,48029130402,"Census Tract 1304.02, Bexar County, Texas",4266,640
1400000US48029130500,48029130500,"Census Tract 1305, Bexar County, Texas",4351,573
1400000US48029130600,48029130600,"Census Tract 1306, Bexar County, Texas",5001,587
1400000US48029130700,48029130700,"Census Tract 1307, Bexar County, Texas",1591,240
1400000US48029130800,48029130800,"Census Tract 1308, Bexar County, Texas",5751,626
1400000US48029130900,48029130900,"Census Tract 1309, Bexar County, Texas",4588,463
1400000US48029131000,48029131000,"Census Tract 1310, Bexar County, Texas",4802,417
1400000US48029131100,48029131100,"Census Tract 1311, Bexar County, Texas",2605,565
1400000US48029131200,48029131200,"Census Tract 1312, Bexar County, Texas",2742,352
1400000US48029131300,48029131300,"Census Tract 1313, Bexar County, Texas",6319,745
1400000US48029131401,48029131401,"Census Tract 1314.01, Bexar County, Texas",7023,689
1400000US48029131402,48029131402,"Census Tract 1314.02, Bexar County, Texas",2864,304
1400000US48029131503,48029131503,"Census Tract 1315.03, Bexar County, Texas",3353,408
1400000US48029131504,48029131504,"Census Tract 1315.04, Bexar County, Texas",3777,411
1400000US48029131505,48029131505,"Census Tract 1315.05, Bexar County, Texas",3662,357
1400000US48029131506,48029131506,"Census Tract 1315.06, Bexar County, Texas",3256,528
1400000US48029131507,48029131507,"Census Tract 1315.07, Bexar County, Texas",6811,812
1400000US48029131601,48029131601,"Census Tract 1316.01, Bexar County, Texas",2213,328
1400000US48029131606,48029131606,"Census Tract 1316.06, Bexar County, Texas",5128,346
1400000US48029131608,48029131608,"Census Tract 1316.08, Bexar County, Texas",5420,579
1400000US48029131609,48029131609,"Census Tract 1316.09, Bexar County, Texas",8632,724
1400000US48029131610,48029131610,"Census Tract 1316.10, Bexar County, Texas",5710,531
1400000US48029131611,48029131611,"Census Tract 1316.11, Bexar County, Texas",1554,242
1400000US48029131612,48029131612,"Census Tract 1316.12, Bexar County, Texas",1826,417
1400000US48029131613,48029131613,"Census Tract 1316.13, Bexar County, Texas",5090,448
1400000US48029131614,48029131614,"Census Tract 1316.14, Bexar County, Texas",3731,448
1400000US48029131615,48029131615,"Census Tract 1316.15, Bexar County, Texas",7309,748
1400000US48029131700,48029131700,"Census Tract 1317, Bexar County, Texas",1246,212
1400000US48029131801,48029131801,"Census Tract 1318.01, Bexar County, Texas",2904,270
1400000US48029131802,48029131802,"Census Tract 1318.02, Bexar County, Texas",5947,676
1400000US48029140100,48029140100,"Census Tract 1401, Bexar County, Texas",1755,323
1400000US48029140200,48029140200,"Census Tract 1402, Bexar County, Texas",2685,309
1400000US48029140300,48029140300,"Census Tract 1403, Bexar County, Texas",3424,380
1400000US48029140400,48029140400,"Census Tract 1404, Bexar County, Texas",3746,482
1400000US48029140500,48029140500,"Census Tract 1405, Bexar County, Texas",4070,401
1400000US48029140600,48029140600,"Census Tract 1406, Bexar County, Texas",2659,411
1400000US48029140700,48029140700,"Census Tract 1407, Bexar County, Texas",4630,389
1400000US48029140800,48029140800,"Census Tract 1408, Bexar County, Texas",4986,612
1400000US48029140900,48029140900,"Census Tract 1409, Bexar County, Texas",1927,248
1400000US48029141000,48029141000,"Census Tract 1410, Bexar County, Texas",3343,482
1400000US48029141101,48029141101,"Census Tract 1411.01, Bexar County, Texas",4149,460
1400000US48029141102,48029141102,"Census Tract 1411.02, Bexar County, Texas",3995,482
1400000US48029141200,48029141200,"Census Tract 1412, Bexar County, Texas",6589,727
1400000US48029141300,48029141300,"Census Tract 1413, Bexar County, Texas",5554,550
1400000US48029141402,48029141402,"Census Tract 1414.02, Bexar County, Texas",3870,415
1400000US48029141403,48029141403,"Census Tract 1414.03, Bexar County, Texas",4072,489
1400000US48029141404,48029141404,"Census Tract 1414.04, Bexar County, Texas",4845,638
1400000US48029141600,48029141600,"Census Tract 1416, Bexar County, Texas",4663,332
1400000US48029141700,48029141700,"Census Tract 1417, Bexar County, Texas",5059,532
1400000US48029141800,48029141800,"Census Tract 1418, Bexar County, Texas",4487,595
1400000US48029141900,48029141900,"Census Tract 1419, Bexar County, Texas",6011,779
1400000US48029150100,48029150100,"Census Tract 1501, Bexar County, Texas",5233,644
1400000US48029150300,48029150300,"Census Tract 1503, Bexar County, Texas",4485,556
1400000US48029150400,48029150400,"Census Tract 1504, Bexar County, Texas",4388,543
1400000US48029150501,48029150501,"Census Tract 1505.01, Bexar County, Texas",4827,545
1400000US48029150502,48029150502,"Census Tract 1505.02, Bexar County, Texas",4378,588
1400000US48029150600,48029150600,"Census Tract 1506, Bexar County, Texas",4489,468
1400000US48029150700,48029150700,"Census Tract 1507, Bexar County, Texas",6147,845
1400000US48029150800,48029150800,"Census Tract 1508, Bexar County, Texas",3226,397
1400000US48029150900,48029150900,"Census Tract 1509, Bexar County, Texas",5781,644
1400000US48029151000,48029151000,"Census Tract 1510, Bexar County, Texas",3371,453
1400000US48029151100,48029151100,"Census Tract 1511, Bexar County, Texas",7049,791
1400000US48029151200,48029151200,"Census Tract 1512, Bexar County, Texas",9953,962
1400000US48029151301,48029151301,"Census Tract 1513.01, Bexar County, Texas",6046,696
1400000US48029151302,48029151302,"Census Tract 1513.02, Bexar County, Texas",3362,299
1400000US48029151400,48029151400,"Census Tract 1514, Bexar County, Texas",4554,463
1400000US48029151500,48029151500,"Census Tract 1515, Bexar County, Texas",2457,257
1400000US48029151600,48029151600,"Census Tract 1516, Bexar County, Texas",7512,503
1400000US48029151700,48029151700,"Census Tract 1517, Bexar County, Texas",6734,674
1400000US48029151900,48029151900,"Census Tract 1519, Bexar County, Texas",6402,677
1400000US48029152000,48029152000,"Census Tract 1520, Bexar County, Texas",1978,376
1400000US48029152100,48029152100,"Census Tract 1521, Bexar County, Texas",5106,672
1400000US48029152201,48029152201,"Census Tract 1522.01, Bexar County, Texas",8551,991
1400000US48029152202,48029152202,"Census Tract 1522.02, Bexar County, Texas",4376,1018
1400000US48029160100,48029160100,"Census Tract 1601, Bexar County, Texas",6035,661
1400000US48029160200,48029160200,"Census Tract 1602, Bexar County, Texas",2547,374
1400000US48029160300,48029160300,"Census Tract 1603, Bexar County, Texas",5502,622
1400000US48029160400,48029160400,"Census Tract 1604, Bexar County, Texas",4191,430
1400000US48029160501,48029160501,"Census Tract 1605.01, Bexar County, Texas",3871,297
1400000US48029160502,48029160502,"Census Tract 1605.02, Bexar County, Texas",4023,376
1400000US48029160600,48029160600,"Census Tract 1606, Bexar County, Texas",5191,601
1400000US48029160701,48029160701,"Census Tract 1607.01, Bexar County, Texas",3093,325
1400000US48029160702,48029160702,"Census Tract 1607.02, Bexar County, Texas",4830,492
1400000US48029160901,48029160901,"Census Tract 1609.01, Bexar County, Texas",3494,623
1400000US48029160902,48029160902,"Census Tract 1609.02, Bexar County, Texas",4870,599
1400000US48029161000,48029161000,"Census Tract 1610, Bexar County, Texas",3861,441
1400000US48029161100,48029161100,"Census Tract 1611, Bexar County, Texas",9932,890
1400000US48029161200,48029161200,"Census Tract 1612, Bexar County, Texas",2906,395
1400000US48029161302,48029161302,"Census Tract 1613.02, Bexar County, Texas",6363,472
1400000US48029161303,48029161303,"Census Tract 1613.03, Bexar County, Texas",5068,791
1400000US48029161304,48029161304,"Census Tract 1613.04, Bexar County, Texas",4307,578
1400000US48029161400,48029161400,"Census Tract 1614, Bexar County, Texas",7895,801
1400000US48029161501,48029161501,"Census Tract 1615.01, Bexar County, Texas",7544,689
1400000US48029161503,48029161503,"Census Tract 1615.03, Bexar County, Texas",4105,626
1400000US48029161504,48029161504,"Census Tract 1615.04, Bexar County, Texas",4411,513
1400000US48029161600,48029161600,"Census Tract 1616, Bexar County, Texas",4898,487
1400000US48029161801,48029161801,"Census Tract 1618.01, Bexar County, Texas",3478,544
1400000US48029161802,48029161802,"Census Tract 1618.02, Bexar County, Texas",7073,688
1400000US48029161901,48029161901,"Census Tract 1619.01, Bexar County, Texas",1345,295
1400000US48029161902,48029161902,"Census Tract 1619.02, Bexar County, Texas",9228,625
1400000US48029162001,48029162001,"Census Tract 1620.01, Bexar County, Texas",2325,326
1400000US48029162003,48029162003,"Census Tract 1620.03, Bexar County, Texas",5219,563
1400000US48029162004,48029162004,"Census Tract 1620.04, Bexar County, Texas",4059,387
1400000US48029170101,48029170101,"Census Tract 1701.01, Bexar County, Texas",3876,511
1400000US48029170102,48029170102,"Census Tract 1701.02, Bexar County, Texas",4473,572
1400000US48029170200,48029170200,"Census Tract 1702, Bexar County, Texas",5601,536
1400000US48029170300,48029170300,"Census Tract 1703, Bexar County, Texas",6340,556
1400000US48029170401,48029170401,"Census Tract 1704.01, Bexar County, Texas",4192,494
1400000US48029170402,48029170402,"Census Tract 1704.02, Bexar County, Texas",4243,387
1400000US48029170500,48029170500,"Census Tract 1705, Bexar County, Texas",4421,464
1400000US48029170600,48029170600,"Census Tract 1706, Bexar County, Texas",4412,482
1400000US48029170700,48029170700,"Census Tract 1707, Bexar County, Texas",4510,601
1400000US48029170800,48029170800,"Census Tract 1708, Bexar County, Texas",1412,244
1400000US48029170900,48029170900,"Census Tract 1709, Bexar County, Texas",4067,602
1400000US48029171000,48029171000,"Census Tract 1710, Bexar County, Texas",5917,656
1400000US48029171100,48029171100,"Census Tract 1711, Bexar County, Texas",3794,376
1400000US48029171200,48029171200,"Census Tract 1712, Bexar County, Texas",4156,612
1400000US48029171301,48029171301,"Census Tract 1713.01, Bexar County, Texas",2825,280
1400000US48029171302,48029171302,"Census Tract 1713.02, Bexar County, Texas",4813,469
